binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
11464344,7358275,-753748154,17089964,18063233,30878972,-228190979,30157634515,23640374989,6226830533,-1153064364997,32927990796,310399094990,
1600814,7025026,-602514971,28567947,12799803,30461030,-160835721,23143628050,17183001184,6214641409,-1379031790735,34656717047,587378763751,
981002,2216128,-601266228,27223978,29423001,30885008,-89194295,24385045616,20131715009,6479667311,-977129980010,34162981741,430076752558,
927611,2018828,-600983127,42288260,39511418,31350101,-27214651,22536955057,18642717591,6048079203,-807425681692,31316818376,341869446078,
997087,2035541,-600984261,13615053,13105794,30447523,-27382662,25818141088,27165246289,5669225322,-754138245364,30546532268,293952153436,
1185966,2210724,-600959527,16849874,22168914,31588727,-28280797,28087070524,23459405511,4995187388,-1245629093936,34362539756,297719081622,
1020330,2283526,-600960400,46300997,59672315,31908298,-39990502,20781926775,15750427837,8869213311,-1294036665055,37098787604,420433604970,
1020295,2386808,-600962554,18655883,18233055,25247656,-32473956,20466818864,15518894071,6858802475,-922884249460,37383956470,347836522788,
972500,2199352,-601117531,109769801,33603576,39281498,-105066632,24920768410,21084889800,5902453597,-974902462643,32226289186,421835318412,
2745017,2200943,-601606209,51172448,65507850,41461765,-42082353,24224813103,18500955355,6430039911,-1253462600659,33154846469,390902248741,
