binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
4497217,2588308,712427293,16473714,14801237,25902561,-18072099,584478090,435778712,183211664,5953819244,1749342702,927870601,
3244467,1031597,600805804,14017689,7847689,24504637,-5941255,433180220,414241828,103428626,7638287094,1602934689,4802216000,
470448,1045712,601141350,10550848,7668339,29427711,-3084099,518500964,479063401,141955699,5593606066,1880304240,1060341705,
532541,792301,600493803,9512917,5784171,25647921,-1527841,582790047,499301889,148135472,3148974363,1685099859,1039414033,
124772,497601,600624876,14790122,9082203,25381727,-1768828,418399353,355871587,111891807,7410322222,1502924137,4321229735,
203976,361857,600492492,9218357,7987984,29728606,-2243767,516020319,420217234,98864240,6517673644,1111814325,4555767225,
149715,630456,600588268,13858313,6735875,29117541,-1867563,457786210,365107437,144552276,3740890806,1761176625,1070342614,
250291,563194,600458671,10336178,7859442,29659243,-1290469,559880932,480765708,92467050,5355855812,1610744222,1044936332,
176751,486542,600450161,7959185,7383976,28168110,-1309503,434715936,336688252,96261334,3849064818,1385325465,935284275,
145945,566143,600419707,10774554,9087618,29527404,-1478867,527945264,476406229,141610823,5394102448,1697834658,1065476918,
