binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
2192081,1642394,700861102,203476335706,13463483,9564240,27022180,-16588435,177450151,154430141,85238345,1264794092,517932393,1254480384,
1952913,563341,600978035,270559360797,14364023,7356157,29631493,-4122692,112849695,129745205,33691609,2354546804,436894724,1317142727,
2229334,626745,600599923,141959514010,65890877,6309929,28273971,-1768520,115612385,112150293,39452566,2579422290,541279053,1500927109,
1236739,416658,602552573,324278625682,45975083,6938899,23274648,-1938873,151542722,114128884,44416054,2944635807,544928050,1700582624,
236142,437229,600547994,104563980417,21153299,5442574,25073861,-1434788,94379067,88432221,44607473,2396806367,510512022,1066451416,
199490,362675,600555000,187058410476,11136263,7454461,29540863,-1689622,82181152,68165614,35809183,1934388313,358007232,1050385294,
333496,314737,600564890,266419096887,15884288,10174762,34090754,-1215811,129627586,113832947,54047021,2896066475,598232844,2144573996,
85061,231354,600436677,167767548624,8085434,5979110,26500815,-1474825,126005407,128425743,40283161,1454082476,506422960,1186718260,
141574,242130,600445934,294207767207,7781206,9698289,29053271,-1237442,110293891,106382319,33306606,1501080387,516285453,1526559320,
94961,250946,600431294,191064708718,10561213,5644188,29271950,-1391345,103536299,104782463,52978035,2081330045,565518424,1855946462,
