binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
268490,175779,142123746,25305698,52745653,6955691,13079954,-34393435,22155954,5597016,3177314,17746670,7117827,14901418,
236719,196309,6699749,678313,9055997,5706084,8866102,-13905861,3115286,2805022,2291826,16912214,7985954,18381173,
457743,96390,9098446,764897,28629890,7969274,7121935,3922639,2774679,3755242,1799001,16135994,9373512,15361305,
350258,120721,4844893,1110557,8011883,99183424,6504254,-5319751,3342035,1947681,1791012,14232547,7192596,18135591,
331761,32434,5519249,835494,7698896,6934376,6723275,-6107589,3350324,2850877,2142140,22239800,9132494,16940839,
289276,67775,6150945,1517704,18838953,11023479,9335374,-4921560,3784030,2753401,1589967,18116371,6534163,19442763,
439453,59444,6917895,792633,6195578,6195130,15109960,-3816123,2814361,4012298,1906574,20262174,10250897,19246171,
300760,77329,6339842,995663,23783682,5925340,7375081,-3581479,2898630,2382420,2468717,18242979,7982961,16637843,
321714,56898,2133582,921613,8528228,5897879,7281425,-5443707,4621502,3067090,1185272,18028411,6236685,20654949,
333986,49383,2850533,1606869,14809333,12764485,8017264,-3764318,4357739,5861047,2641606,18067442,8456362,13553593,
