binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
36506570,90141834,716457226,18908824,16990063,27104394,-64707443,156017213925,
45718693,73803040,604214154,12187213,14488011,28910320,-51386946,154358857089,
24365842,71822906,602329989,10321762,13858911,29737128,-11101087,152890165385,
30062803,73065111,601824568,17265305,16463458,29735647,-10299486,155322276969,
25431721,70295659,601646367,10543220,10722908,23543647,-9687020,164468972203,
38165054,67778947,601135467,8084461,12824944,28446365,-10384254,150737752321,
23503332,72684114,600983730,15713465,12976978,29997103,-9592547,170652523531,
23919251,78489461,601210507,14442678,13219447,30597799,-10553401,163616699295,
21008796,71155066,600908390,13365422,14256829,31892905,-10422556,146592650733,
17441636,71726051,600853916,12041541,11551854,27732696,-11167980,156091622218,
