binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
14332325,20015089,-704047010,68843812,40269933,38594103,-783145117,122221307745,47874337241,219105681865,
2415426,8996067,-602105073,50730188,21364042,36263247,-335770047,99979243174,45621516594,205086752644,
2218512,9477372,-602610368,23575503,17618673,31564524,-42742905,100312615260,43491565354,204263207154,
2162736,8960350,-601836366,80436647,14714821,34056213,-52296458,97458229062,41906839110,192165986610,
2398799,8910597,-601347720,41800155,16870595,30550220,-138724514,98923514581,43618536412,191495769982,
3539968,8370360,-601735614,159157216,19320927,34317184,-531852602,91342789003,39879978831,199735390588,
3986788,8382413,-600981232,21931448,15204095,26160997,-72155175,94431474481,54994470402,245267236359,
2286607,9658515,-601070757,44054685,23583380,35894670,-207908342,105121095566,49986008158,232463439385,
2872954,7572587,-600782752,42590099,25904957,34750067,-193291751,117268906705,39651111808,205464923106,
2155867,9414562,-600628363,64751718,40679457,35253125,-274791331,95527873902,45644096151,200638293902,
