binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
9656313,8137177,702540811,14122600,12535819,28312791,-33877585,16896573160,14089001828,2028062831,84412167774,45489600064,11770818182,
1194614,8908797,601823091,9560148,10813795,29308190,-6324837,17301684612,15486566341,1772645964,86544359976,40472568504,11228065582,
776384,3683874,602305733,11665806,16255399,28865724,-9523981,14979982569,12106286403,1593228621,95162017709,37087909846,9520797831,
907353,3322053,601721528,9943970,10529715,27751275,-4431206,16993655444,14678720481,1755452889,80491604675,38038332906,10131383055,
741061,3473723,601298887,15150235,10229890,27204674,-4321204,16681625392,15677278520,1716297433,74195955033,36126405658,9599672636,
756759,2967596,601202291,13025338,10579746,27458303,-5414726,14897072205,13650186662,1818410162,57884224786,32915841595,10397418198,
883283,3666565,600775203,13311478,14761138,28470388,-3092005,17020200150,15261930578,1931871256,82999849533,42425202206,13517151559,
788632,3107951,600778344,9440469,11828061,27489720,-3073160,15906434263,12788724960,1720450581,75247620855,37365297956,10030729006,
809387,3448258,600947804,9588749,9080554,26823337,-2738085,16834364058,15473915944,1695878726,70758750808,39330439724,8498536149,
803499,3465295,600646970,17480572,11521289,27866169,-3804280,16256505872,14721724187,1907662397,71481366079,40929705097,9699859671,
