binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
8004649,3987620,706229319,14010415,14406707,29038989,-23846792,2576127226,2115152639,548238360,10499579887,6145396175,3393221576,
1014793,4800832,601293118,9354792,10480391,27396418,-5198089,2477088072,2282865867,473387340,15571705755,6358844765,2797434298,
592152,1842366,600771809,11196755,12828766,25184869,-3419682,2489571750,2154254967,491815638,18167045955,7680472270,3234192006,
298549,1251794,600825239,10063250,10502403,27687295,-3167291,2137593069,1836935693,476957521,10650312135,6501087581,2779135961,
446638,947359,600499460,11630395,8889638,30174929,-2311904,2088252078,1802304026,379120340,13760627549,4262144100,2457387145,
483589,981567,600585538,17643779,10829737,27535029,-3175242,1784111075,1739512572,402164490,13767800220,4573150937,2104936048,
634293,1074793,600523822,9409417,10894044,32422000,-1586398,2151710611,1841165164,584077011,17529479748,8026012872,3023254690,
323042,1396273,600514941,9359854,8166411,34406711,-2149397,2488567463,2300963979,482075145,16934368519,7073341862,3498921188,
321411,1201394,600490515,7936561,6552760,29788598,-1508844,2359044903,2155054665,472654283,16249471838,6358253853,2576527264,
449370,1195368,600528112,8581757,8248988,29549967,-1472219,2263430602,2146793215,524700364,9414315823,7617337672,2744696206,
