binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
8656091,5365620,-709245325,26308588,15935317,28834076,-28007060702,6411589904,4927010073,3658120167,206679573092,12955381230,79605350940,
1397607,4381317,-601328400,22288775,22237472,33254982,-981674789,5997798258,5095235260,3883934194,244409197579,12413766779,91717640467,
990278,2674915,-600887330,57454590,23593257,38431410,-255158562,6823185859,5479115355,4101166546,333064932622,13575307835,92627455288,
657433,1926179,-600784361,61461687,24869529,40330607,-45039974293,6933291029,5666470718,3776822334,214182404761,13436564352,76949789696,
410532,1425146,-600595330,20823574,15782512,26816270,-7815050,5731931791,4511884222,3478974319,173086132988,9802850573,60364765254,
426538,1451930,-600462966,31267877,23551746,32653521,-2082612634,5240353253,4767956969,3127399738,219678604204,9624586667,49271023240,
509244,1621755,-600487988,31682374,19282644,30433471,-1054817457,6425476082,5046111932,3485607342,256755083644,14885933485,60873935737,
662066,1727860,-600671999,46720336,13992376,29724484,-14979827,6728637323,5657317305,3938759651,304451906038,12688254775,78571388158,
496220,1802252,-600543168,18389805,14149281,31037004,-123749632980,6362042543,5128554445,3935083908,228270233181,12504027549,103984903242,
553159,1989765,-600521411,58936851,24015744,37450917,-10517730927,6616519687,5582627995,3892091508,306748135376,14931466641,104166511780,
