binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
7464724,4932744,-701094278,20071237,13648971,24447254,-89924036,2387149614,1995501786,1320546224,35358342641,4124297024,17192324515,
733704,2243952,-601361938,27773144,19899928,29445854,-50896069,1765162089,1468590440,965872628,31888534433,2946024010,11308687976,
781175,1053822,-600785755,16892960,17625417,28580040,-4231689,1682619189,1300542087,976655433,26887038246,3434411292,12040985018,
220066,824393,-600666658,38672086,30339214,30290656,-18344533,1626805586,1172268162,1094272249,27453481897,2984337798,12199020321,
346251,643139,-600588187,15691562,15920693,26799279,-6324028,1487280822,1289652096,857544732,21251902772,2453479146,10926720568,
381200,640895,-600786823,27088662,28386653,28906438,-29949639,1336559328,1150604607,823118251,22578581141,2352563100,10253055274,
225976,715419,-600439974,31604761,23087406,27224389,-16069159,1903339998,1601835642,1089126478,33129767119,3435490411,13258506456,
316289,819489,-600520255,21660485,16513995,25398791,-13850907,1302458104,1083292620,958456768,23516427685,2420318388,11542136306,
236218,662311,-600446115,18726667,26498702,26916568,-5048769,2054735177,1496290730,1272835752,27646340509,3558756326,13431059767,
227811,677458,-600359992,33496702,25304147,27702037,-18627406,1801230519,1370894060,928423008,36281087798,3377836472,14765732316,
