binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
1106035,1431514,699202208,403325175,50669664,11502591,31480112,-18627302,69989336,56221718,42607041,1016315806,169154810,514858872,
893032,300936,600561464,233190336,7529787,15233594,27146271,-3065137,31621168,31185342,17420348,860707083,138025361,285702226,
1317397,406722,600702725,192398568,45175328,8495393,27450372,-1709198,36043027,33651611,15477704,1019681313,177164748,530936802,
1344760,182194,600541332,403891125,15763784,6350465,23507864,-1642421,38228442,36077073,19642788,429151980,183390877,404018474,
1214198,169453,600765457,241003539,15988840,26327901,29965172,-1517959,33839228,33796587,16548461,1024000327,177610621,401498325,
1134766,146909,600607548,264793151,9668705,8097560,28894839,-2089914,28140732,23632878,14613550,824442695,159161866,303281393,
1220601,217706,600540125,450317682,5644151,7310875,29733661,-2167940,36584491,34605642,17609331,1062694168,194285757,435661721,
124683,267471,600487298,119177919,65504836,8375053,31230163,-1414116,30964087,24452351,14282501,366598765,145627288,318283206,
156425,115895,600415144,621054034,7922738,6325229,30799490,-1044648,33067620,29541740,13407238,878824292,161024377,451643340,
154142,162848,600557170,679706603,42590031,5670396,30619471,-1786399,32974035,34099637,17761369,968837521,169865673,481065025,
