binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
51352822,84641604,728017412,21511909,16197922,29135431,-89493368,122005024585,
29222455,55293057,605098070,14111647,13223677,25476787,-56962154,120736620430,
14618610,57821238,602820268,13863253,18127551,28916655,-17042466,110627269045,
25124325,54522994,602075667,8071344,12703066,26052021,-17378217,114537316549,
17141381,55032659,601525423,17105591,16484009,30595421,-13934848,117269087411,
12892314,56520525,601545433,14955009,17323738,28212985,-14914406,110685521421,
19257250,59439174,602193889,12916352,12823923,25460183,-12354346,115625875685,
17399072,52442143,601355253,15681267,13893686,25922077,-12468447,120824054068,
23075822,55301872,600971224,13696470,16639738,33095378,-15577722,113521407236,
16591864,50572014,600957340,13734776,16654797,27813541,-34839737,113729430479,
