binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
3698062,1740832,-719258442,600025073221,20022860,37507245,30506782,-83165898,448759725,327740122,220867250,7482621079,981643494,3552705986,
3187444,773538,600818403,600000380178,18812089,15362780,32049306,-14539976,336322803,267479528,118153862,7150856098,774167350,3427288394,
697265,917836,600594430,413990560783,18073334,20779703,27619068,-176932371,428944662,294586381,140887226,8704946327,979791295,3443312124,
643331,555580,-600741116,600000370267,19518289,18700773,30120010,-8989143,373982201,291131521,159031890,9758630059,1043579446,4632362287,
400061,572989,-600579049,185245736950,17514968,8954971,28008125,-49340852,329268940,254755481,155231532,8115295683,943819847,3086808251,
98131,378791,600703570,438588497486,18256430,18494964,34214422,-55949549,228358260,170247711,117699653,6771333971,684812691,2647597579,
133810,420253,601656002,600000385322,15989087,13964042,30084746,-22877258,389246406,293730223,147730426,11220968828,1117543938,4984596778,
177782,402546,600531639,535238018879,113371052,16246181,29130603,-142756657,393429747,345334540,127541760,9469688243,935157460,3235707444,
124807,315364,600387229,600000350437,17413936,13321452,26394441,-9339574,341783682,276813521,125131043,8305554209,939766893,4588464537,
132837,419613,600365279,600000379076,16142850,22938380,32052480,-104948108,344952271,287789121,154758567,9131835770,1102610600,4228237810,
