binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco
25001734,58421954,-737374294,75385214,52168554,55762775,-591353412
28653016,31684707,-604261256,81417636,209254662,70129588,-112741535
10842123,33805594,-606267620,104396775,341164018,60715842,-954768641
121974258,36750555,-604514637,84416290,256560242,77103189,-298817705
11772939,50626210,-619872696,73030767,199255295,70145663,-221752595
199134846,33329144,-604503591,353558262,276921095,64542363,-192045871
10384174,33246792,-604855125,62573702,219015749,64582701,-554070161
10113092,34152867,-604023351,72036511,147316710,72777803,-279982655
10261505,31215197,-604854768,66127339,120334631,71957346,-9286759
9683218,31373130,-604514069,64268856,195471920,83258836,-131274847
