binDP,binConstraintChoco,binDPinCPgooglev3,binDPinMIPGUROBI,
25046174,-202588412,47898112852,246380304621,
91302571,-35583191,49207070609,251507482962,
28226249,-19993105,47460415403,252156023948,
61970594,-14369808,47876272119,251493789332,
10798590,-21303615,48758060875,263296179640,
45089504,-17847070,47184467184,234318144857,
11793931,-17046666,49757312260,279499906343,
11431057,-15424524,54076131291,311285221607,
9226536,-13075162,48138133412,346727198804,
10595383,-15071221,47084225605,309021826217,
