binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
44788597,113629177,712404780,16628015,13276959,31476895,-69654664,207557381560,
91562702,95090374,605712504,44408444,71433914,46398329,-39732057,240060061059,
24825822,94165187,602788687,74525227,54476250,50513685,-14326541,235360683335,
36488581,93220818,602188469,51002238,50057885,54609078,-13526177,221829673831,
33539862,91053048,601784798,33390584,45314700,45864299,-11257095,262048288303,
23001544,98336024,603327268,53289937,51745822,52641619,-12507375,242702938486,
54076769,94592503,604668629,33971605,53508506,50507601,-11864917,247684052719,
32332762,94466311,601268184,55283689,52219467,54693774,-13132438,262246402008,
29459839,92193337,600900396,43617428,58033650,58492576,-11560017,225224280869,
29424174,91857874,601073887,55840380,51024005,48322390,-12149127,240825154925,
