binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
9673676,2822907,702048951,15325420,7371684,27697971,-24782628,1364534632,1011572325,305801280,10703028664,3384597168,1480266217,
708362,2386852,601129211,12866115,7807524,26778235,-4480177,1405187150,1227639803,180782636,9008988863,3177280816,1490352301,
824106,1160570,600983910,10766788,6111895,25606949,-2326784,1610494617,1362829916,220013243,9713917800,3999940056,1833074536,
236574,804954,600565892,16171898,8067434,28127139,-2510654,1896903140,1516807689,227540945,11905402128,3648270011,1932022090,
208968,690108,600534850,14282896,8210063,32069825,-2029290,1270067775,872923898,179662452,9679216411,2913762628,1438503319,
255491,701026,600569737,7749744,7739101,30382987,-1924886,1558415637,1198384135,169386419,6244017662,2115356368,1256156209,
237323,692797,600452539,15866656,6795809,26062155,-1822899,1370726222,1052212326,261539224,10765622703,3925293511,1843644633,
235492,659182,600418024,20459291,9462295,27944465,-2348831,1707998114,1305413365,180514931,10434625001,3292064416,1572193069,
218058,657296,600422225,11709204,7342963,28707272,-1336314,1315860598,911015325,169048489,10144047818,3066623904,1610657325,
434045,852776,600411189,10718671,10179809,27651870,-1227444,1702075051,1107792194,256809144,9347658006,3550596372,1680355902,
