binDP,binDPv2,binMIP,binMIPCPLEX,binMIPGUROBI,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
16037380,35003495,23200487,21509482,36266627,301676421222,279841389626,113080531968,432458867243,
4740431,17235127,47747808,72845174,60085287,380869294646,224866708617,113589555335,425614357541,
5062439,18179291,43075021,72934814,63180140,355086998995,328866199563,105702169811,390201056775,
76056348,10877935,132580711,76946128,63743875,424188459685,341498029719,103832940842,393858117007,
3275979,10359666,35448548,85981154,62624517,378561508370,244797422685,100899621193,350833694131,
6672368,7726086,49598825,74928898,59997193,250417867457,245400350106,97144626077,341538557845,
5942159,12919717,150037589,70653035,62226124,345330226265,261160183783,101748401104,422578312586,
4639794,10382879,41670304,77568624,52902435,358503929943,350139819131,109534971064,418880070776,
3567180,23963559,42983306,82512292,65785234,347675203485,219736271639,104140184812,384602502475,
3309853,17934733,33127277,105188006,62236425,360501654731,256784550074,100239147150,388360916414,
