binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
1875074,1775189,700788494,1330748481,22618743,30251367,30100367,-61301946,144860210,120478327,59304996,1434174818,292050768,883497098,
1585455,462756,600648313,352752729,103902387,13773664,30691599,-30271542,85787169,94727950,28491092,1508388366,229611671,580258413,
2238035,840326,600693901,521665166,25680041,21786146,30772713,-6641231,95150786,75396497,33646037,2564314643,327228027,838958502,
2032140,228408,600634243,1182994520,40540241,10673464,26961649,-3989757,95882651,66650759,36078333,1793982469,341311796,893650780,
229453,287998,600793281,811909499,25569989,13740615,30819572,-3069958,83728794,64734626,38010254,2115046344,314259289,819281668,
201684,230768,600504628,602314059,27265870,26387616,30318603,-3870043,64715152,44515125,32088471,1205560184,242128246,593290245,
246286,435574,600381298,1680762533,14086007,15144491,31105131,-13447949,101005683,71502793,40164835,1540539904,354464206,1102248263,
268250,187535,600437358,219119078,14472226,9971031,27223364,-3935735,72432491,62029308,38600495,1251647452,273063863,653239940,
66503,167046,600451218,1408852238,10500653,10888890,28121436,-13691102,70182230,57820542,31525383,1120622852,266008503,837121082,
70029,223891,600452336,2705900013,156108067,15157620,31624222,-40929301,77070913,68799683,37087124,2202250115,296836239,993443286,
