binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
10812520,11577818,-716047103,22929560,21780210,29956943,-330900756,49134449368,44461376009,16623680169,80252280371,
2561410,10433928,-602518403,6013444,8836460,27732862,-114471794,41255111975,33648270816,16519899087,77306218994,
1161516,4450112,-601568247,37573193,12386521,30523847,-27879116,41037352546,34370153945,16636805333,79669104266,
2209719,4594552,-601222142,44562926,18282235,33983711,-132983179,40339742307,36012783465,16859420669,74029008075,
1130078,3641481,-601171164,21086413,23817064,28301825,-277510340,41397418154,36886112060,16356047734,74921248047,
1123454,5047203,-601031505,71866939,33645000,28492787,-93068388,37482828317,32731592992,13321422259,79140475632,
1243510,5096583,-600889196,37570356,14068569,36047573,-56219318,41831808625,32888720586,20588449385,93128757691,
2246056,5222897,-601170126,28019235,22564708,30160774,-54259066,39860188014,34297602331,17187927757,84065344641,
1087748,4514581,-601008994,31310673,15154717,28031090,-25883983,44082245367,37118075167,14604626804,73243228677,
2000057,4996972,-600821754,47350001,31440784,31382176,-256550164,36879880830,30339912866,16744370701,81136271266,
