binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
260106,119362,119506582,28436392,23651535,37676478,9641472,-27602826,18409515,5954756,5025843,10859415,4375453,8704374,
124284,87735,4340001,627205,13035727,18009383,6823982,-5150793,2170056,2478281,1224518,12446470,5195644,12004724,
199895,53904,5647860,639224,46431898,9529099,6938379,-3503119,2139541,1981435,1456656,6938525,4091144,9590255,
225564,69498,5922070,946312,23776448,11664637,7486318,-6185155,1437833,1336730,1633541,7561158,4601178,8605816,
222018,70368,7483166,646945,8333444,16183948,6816879,-5180800,1439371,1820819,1141709,8497065,4123926,9248011,
143847,16806,6981396,998015,11078531,258061087,7355645,-5436479,1218275,1122560,952101,5432121,3076535,8336328,
209639,21509,2562552,635710,16626371,19136445,7110627,-3465913,1671034,1311387,999030,6048941,3505524,8869833,
216741,37517,4549809,895646,18102724,13101110,7647844,-3698534,1794023,1794041,1108323,10674364,5232493,8915530,
188586,20086,1747272,744012,17897253,8188826,6674960,-3751708,1832777,1820471,1032926,8346173,4646763,9402223,
173873,27952,2240284,644113,8855358,9672848,7143143,-4291503,2641694,2069171,1048706,8767285,3844758,8172197,
