binDP,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI,
13025135,-156378361,68893315691,59422523022,5038344581,149261357732,29112527148,
2009108,-29613902,59314796437,51701882735,4821952925,144792621594,23418948279,
1650013,-13077107,55778033872,50433112824,4618215534,131857036946,22054810056,
2869830,-10622854,62178945168,55363636665,4794497146,130329143461,18467319271,
1617965,-8360084,56553500218,53628701586,4481370729,127269229981,21923040438,
1568308,-7868951,50921406178,45213553954,4626744539,109516393182,26865095893,
1736421,-10034298,61742132898,54719511305,5171945923,137405053385,22552581404,
1744565,-5509790,59055496056,53404753561,5273515742,143829051009,22385771255,
1666992,-4778451,56640349335,51004674364,4790393641,129565855611,17542628525,
2147964,-5550050,58380874743,51253591108,4771199723,130907039514,15360342298,
