DP,CPgoogle,MIP,MIPCPLEX,ConstraintChoco,DPinCPgoogle,DPinMIP,DPinMIPCPLEX,DPinMIPGUROBI,
1356357,40616019,17918016,7295617,-142920661,45340457,283484656,31138845,74390403,
1234692,7523247,7586636,4956769,-13830269,10341908,196741053,25967005,72683315,
2653587,18678863,6855018,5928353,4108385,29249094,341776359,33424231,87156086,
4039918,35626344,7859214,7062510,-5668201,20483112,722942486,64013704,152329989,
279632,6121274,7809579,4926055,-5656388,11361709,226057897,26839748,75210325,
278993,10876460,8674162,7099150,-4917866,13311736,272353493,28278043,74922035,
250034,5198008,17115293,5266052,-5595141,10336350,143724899,20737568,60277707,
163534,3894152,18071521,5514432,-3832457,9956907,126606031,20431569,53990862,
337306,4920837,7552932,8174551,-5298447,11597629,161039272,23151575,59697065,
526334,13906857,6987689,7060073,-5904867,18045265,400923380,37716489,95198635,
