binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
10644918,7911576,-706347100,188677859,23697944,34828112,-317898234,23962795157,21200114079,8351904618,-1428352898549,36830104228,600349485256,
1118077,7270159,-601938510,44631065,36222480,50694840,-102124892,20978410640,18107778192,9037718532,-1393044932412,36385062077,-601400649381,
802823,4253915,-601704154,33123986,10735112,28337339,-102011125,22478409458,19797068670,9047945427,-1524689373388,38155871998,574789086576,
753741,3711254,-601571108,94027732,55548733,34956415,-36474974,18789233231,17266632610,8649326427,-1224950603587,37273878077,479279324116,
787386,3508608,-601169008,25350887,24328309,28658534,-60283224,23403016102,20581543336,8673136365,-1265812757259,35190615439,460399226282,
812658,4024230,-600944453,23230942,20039901,28210831,-59283768,20557554522,18439304332,7055459291,-1326788880455,38064338862,430892140038,
854445,4694057,-600862027,27866941,26661464,27492701,-90138981,19811912254,16431222648,11453510620,-1770494537363,45824374182,-601541660757,
855210,4184453,-600962267,45288890,46645907,29742286,-186665588,21301654534,17501372708,9250940412,-1502304220927,43219531854,-601387640365,
743262,3562357,-600815042,18439318,20997945,26317626,-81568902,21752048200,17414817743,7850465263,-1252932247682,33237803533,439408201781,
791750,3887864,-600802483,60045265,35685599,42869654,-120633112,20933539802,17497571305,9941104450,-1375113816701,37507608048,466402285142,
