binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
51067526,145837082,748191291,35899147,49440950,44724160,-101003009,344155377449,
600351907,125554133,604505784,63555573,77744674,54690564,-17670130,455945066894,
59789610,115774029,606887743,53097506,83536166,63462818,-41287621,456629544282,
133150294,118952004,605417382,53107038,95439550,59384177,-49445884,486180374129,
44867546,122984354,606282392,61832577,97594649,52937603,-49824651,526377407389,
40673570,114298172,607290019,57541115,108963294,56944238,-14510521,525118399578,
49071610,121676207,610260873,61191139,97414074,58097018,-17107684,531536281524,
37346064,116576178,605357554,56596783,111360487,54214428,-14578895,555770782169,
54501549,117062028,607294523,57739867,110314379,69494082,-15321300,503044796673,
36746431,114241335,605308002,74125164,97091685,49312847,-15180323,517561120916,
