binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
13934765,17484017,-837242221,28756084,20076673,28741244,-231013795,149594554970,143580316658,32376071570,142034283635,
4749743,9234072,-632490854,184103143,73483111,51760203,-108063370,125749068470,109605398241,28638524789,141875945683,
5502289,4986689,-613643470,50305272,27867181,32232670,-178670799,140312670963,116224651513,29111323691,140633085820,
10677783,6290230,-614599970,14303762,21532147,28223579,-34261271,126744497375,122434342635,29359962315,126347571149,
6862588,4488557,-610998079,29069349,14731663,28562634,-460899891,109702824851,101977831348,28558285016,131073085500,
2235412,4583641,-610558982,35226087,32996945,31069132,-127071039,117648346902,102901163292,24614003727,136549553889,
2318250,5211358,-610147457,63034409,14245418,30719641,-86042438,110603805056,96697814200,34942226313,167867676146,
2348488,4924356,-610825457,29119883,14545682,29789899,-140877772,114492646839,88986149981,29111486805,145493954931,
2064175,4668732,-610630301,47357500,14212158,33474528,-151878878,141076787764,127379013092,26670996320,131681398141,
2201048,4782101,-610560381,72667821,45027216,35558416,-115542258,108834645446,102862702151,30174450221,137596558314,
