binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
2090504,1440529,278411419,47382074,17397322,48970087,25906762,-49744313,167308210,141674346,75590231,1524274996,385443793,624050981,
1681271,394473,103026383,45906825,12573134,31325717,7127479,-6169003,72998045,63262890,45069469,1062919507,238495190,465516072,
1777016,511589,41261714,34805974,17850373,94667363,8163773,-11685818,90866394,80808305,31666959,996302417,267760484,477994921,
2281054,310338,112717753,81716430,19293395,13397537,7340912,-5528334,97987454,78152307,43854685,1306254174,332962022,714662729,
207073,187763,46809619,5708618,17788289,9924262,7342574,-4442188,95873042,61300217,31500782,1032316262,240757324,482665830,
260241,202839,21645380,7900889,9942535,7875814,7437630,-2300786,91751356,75479851,34756020,982256460,268945689,529797334,
240735,410650,131670016,58319791,14825175,31055174,7463995,-2019707,92052215,75828226,60561730,1408604882,370378423,725431835,
471832,134867,24027049,11848346,11282273,11484829,6572137,-1689288,75291511,69147187,37276488,925790815,223370553,459159261,
115739,192049,12695777,5894959,13402408,21589998,7593029,-3869661,82598590,56574137,34408505,908151403,303784586,446991227,
96835,225792,42652875,11659116,16348303,9910276,7235513,-2189657,91677176,69025009,51199855,881142732,361468989,604929987,
