binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
16733743,27881341,708966073,18337017,15127456,29148571,-49229024,337296861776,21951326008,498157880904,
4019534,15600330,604948640,46189990,32232236,49840629,-15089120,539030303351,19791138010,555035607155,
7201127,12255082,606363259,91674171,57997566,53869574,-7632515,459378615232,14735365033,512009025904,
18698759,12588944,602405698,101538859,60106986,47589864,-6703818,522579935868,17806275986,542024417689,
4171136,15969363,603317469,73744381,36616640,43849431,-6221251,442135025857,15996318324,491192326146,
3300233,10129986,607278438,32553374,60320634,49370041,-5872448,467683518910,16954181548,465914699560,
7636242,9402818,604853100,48489529,29186190,44305584,-5668216,543668512723,16431131387,531639581082,
4340711,13352793,605448892,51997478,56327691,46376768,-6425975,502014031515,17135398378,535237227195,
4421358,15143410,603052024,38653089,59066287,45047636,-5437198,479511900238,15942074272,476093059482,
3372340,8853721,605250422,33444100,64693064,47846050,-5811867,478949296655,15979722509,479217496524,
