binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
26393857,63776147,718681530,29093807,15577133,29762189,-86033695,82740495092,
22877668,44175221,603200139,14691806,14456793,30629745,-16617275,81526810489,
13971280,45331996,602523993,14179112,14138439,30114983,-30420499,86414813090,
22563377,45809523,601743733,13082420,15180987,29818490,-39314225,80324067129,
14012487,44986156,601377478,13910095,16747273,26067426,-14960537,86062597435,
13342381,43327795,601091418,12331834,15254386,30758023,-15801529,79862529449,
16401242,45710153,601128514,52046098,14212456,29049591,-13335328,83688860396,
10677663,45709604,600966276,11326966,12655164,28125256,-12916883,88276451644,
13915548,42102059,600791283,10354125,14536212,35661774,-13791216,77864397424,
13485580,42967838,600747090,18783680,12050017,28461495,-12365146,82059540674,
