binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
33691482,77259180,715132775,15360479,14669966,28029066,-72803399,107683007283,
37899108,59506785,603909211,13365761,11571315,24697085,-30295062,111583524285,
14619708,56294150,602064895,14869299,13456237,27069457,-31427122,100827432008,
27614722,53013168,601561726,15192270,16018137,31494361,-9683678,106812823669,
17704594,58662492,601152789,13626800,12674002,28726812,-9663067,114933392270,
18269254,52949471,601286540,9561764,12515065,33348652,-10065449,105411115897,
19065776,55923636,601074622,20812174,13969689,27272492,-9551563,112100748946,
15677230,58337990,601004944,8702696,12974225,25814067,-10986299,128224993068,
15365057,59368839,600813700,13806436,14275920,37140065,-9025974,104148712562,
18041974,52367011,600855059,12297693,10356004,27076112,-11617050,106797262174,
