binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
44809,51162,161277334,30510316,31850124,39237467,43737492,-18169376,23617058,2531073,2944932,3561218,1803866,6504845,
109843,37817,2793737,543574,19455070,6045056,6182535,-1004729,744220,721996,719913,3121497,1629855,6326137,
86453,34825,1669614,512237,13147023,3238173,6097922,-1291694,827265,842709,761060,2530561,1972435,6303162,
81843,40818,2424503,955857,13319614,2186425,6343484,-1295300,687021,668718,1249982,2249089,1872247,6581209,
120174,37403,1664571,572529,22767603,9821218,5936491,-1303219,587369,828793,618540,2084081,1329737,8905723,
74313,56394,2287742,925409,11059023,4465428,6861731,-1237480,569008,813331,604000,2692809,1539664,5876028,
79303,47618,1207698,594724,10970775,9086841,6253453,-1164926,826054,547702,1169949,2448713,2022523,6879146,
65936,62019,2238810,771843,18148510,19652739,6207308,-848411,662351,1196956,586618,2513590,1935072,5859282,
53943,22813,1325425,940929,12406088,2704440,6884148,-843939,570316,541988,558332,2213483,1693354,6047008,
59112,12745,1242300,817481,17409931,33446004,6403651,-866909,733121,687615,1267101,2564249,1566978,5349448,
