binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
8850573,4701739,710288604,13956808,9007269,28473373,-21724917,8309235083,5543830050,799975835,24868473080,13243788452,4256304422,
766676,6153179,601004438,12041419,10339538,24457713,-4387260,7792866277,6372938993,644522257,28638033384,12088598654,4390111294,
519118,2087152,601135952,9608019,8587785,28055232,-3004044,8344089378,6151895974,742779371,27593521798,13636898088,5683861923,
489655,3987064,600604211,17788611,14816307,30290389,-3088562,6973303323,5104634500,704701327,28336806365,13053870293,4416664987,
433233,1481809,600671973,9731879,8914918,27937120,-4928694,6639327398,4506249045,568993726,28451266864,9826189855,3740088789,
525941,1643311,600582316,8323799,8653667,30296593,-1668659,5740192598,5194883999,642998214,29016371485,9605403181,3068515655,
507121,1541031,600559449,14290251,6604595,23760819,-1243566,6811787399,4651411148,878785287,27435278624,14916213912,5111990653,
655685,1672969,600490202,9725688,9145105,28532756,-1868908,8145026162,6457952539,676797637,31656124309,12685411690,5776233414,
495165,2107689,600447296,17536036,9627447,28143989,-1661078,8134506437,6220489383,669161857,32330751356,12535170643,4536849951,
525439,1877282,600602893,11938095,8576462,29357769,-1746758,8362443632,6894108823,779305088,23607924353,15033602271,4617778090,
