binDP,binDPv2,binMIP,binDPinCPgooglev3,
23238480,47750498,47137483,465059385550,
13232191,33185526,59454251,596019800197,
623854542,30053543,97336556,623402547006,
77080584,29573269,79038386,628422141472,
10431298,29322553,54262395,618333892451,
16834555,72598266,63477712,608800727549,
10298827,31160853,69616466,625800909403,
11445861,36917576,51808278,640246161515,
17893781,38108913,61079648,649440762075,
745357226,31233316,76624493,664666682737,
