binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
110633,46092,169426707,17399415,16878193,9417029,28264237,-18526933,866417,643993,768787,2287212,2204275,6167253,
46551,15862,1614939,703760,12607243,7793053,6374569,-1819352,507950,459143,334238,2280233,1603191,6074114,
78565,22907,1467429,793545,10375100,8923038,5818133,-1144163,1201046,1207802,337656,1963311,1353122,5978737,
82448,24546,1822115,601158,11058271,2491819,5879717,-1095928,498907,806125,1161054,1961618,1432686,5998955,
72641,33181,1364101,583319,9545400,7972344,6832179,1363070,458567,479881,291651,2098185,1389905,6052388,
65808,19226,1743630,806019,11865510,2153058,5864289,-1136531,704650,1221306,390525,2224481,1580300,6426405,
122197,32694,1287278,793580,10002748,2384179,5789048,-897480,482141,1825413,437333,2125322,1364193,6169274,
62635,60225,1161016,596292,7682141,7989901,5951385,-881073,467267,461205,272215,1891211,1397976,6180087,
41788,29639,1021391,710716,11242562,12219532,6401613,-787714,417025,443181,281365,1800405,1411322,5754192,
66023,7958,1202733,710296,9386153,8303972,5981117,-944527,459970,513152,278076,2026660,1473262,6184651,
