binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
1876392,1349452,717292632,1769245350,24853073,6973229,29307401,-11626321,132739847,107001595,42688598,898443103,300485225,808605113,
1522800,498208,600625074,848187396,26473512,5491602,24608129,-3595538,85781600,69823092,25694869,1626906250,275920628,685305520,
2074892,527538,600682522,854281931,37815050,6933311,31919780,-2096521,109277523,78981699,24124506,1962615888,356471194,1064064154,
2345320,239086,600685542,1822958587,7836997,4922439,23725071,-1162723,81017186,62035982,26778890,917468582,340115275,846342336,
369140,200651,600494475,1034773211,14984491,8448935,25512480,-2033696,78860921,57205795,22317085,1894111728,315643831,934220413,
317338,252574,600518110,1094176986,9093184,5947792,28603550,-1544296,52359747,37319679,20408492,1398831142,238210766,681985001,
256468,421916,600429542,2259218267,18409779,7598465,29675698,-1406100,89793540,74350384,30234954,1923409756,356035193,1235817816,
408158,146304,600375655,449486314,12043500,8261643,24905331,-1203811,68333893,58332340,20756125,778017499,263093572,667441569,
77658,215783,600502968,2455833266,8413965,9888944,26944105,-1214435,67820724,59793834,18896262,1525964415,262797056,787788634,
85901,192601,600623218,3463075725,11360924,6709997,24242938,-1411315,85856051,62638160,29591618,1745406926,301938164,1154023332,
