binDP,binConstraintChoco,binDPinCPgooglev3,binDPinMIPGUROBI,
26497875,-227718435,72968078883,388204024805,
65481901,-56493314,94241163585,458071690656,
10500635,-25331483,82616143888,451274590753,
60576792,-25458879,82766066737,466327396112,
22882536,-24128225,82388951278,454904225542,
10651908,-26478750,80542750162,524798782197,
10514436,-19218053,87854458982,575286106796,
303630787,-12237322,87869145709,520251532843,
10103812,-21551115,76331101518,513329800376,
14056381,-20437550,81486679675,565083070025,
