binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
356492,284497,117908637,25289833,13448244,13236414,7393340,-34533823,23575707,8430531,3376749,23083605,15431594,17846429,
295991,140335,2561336,907811,14316433,10337737,7066556,-18997949,3048067,2729849,2276705,18742718,9206162,19077266,
311322,75191,4784697,745116,10324431,19011172,7113706,-8186126,2616743,2786441,1407051,17496987,9171209,14136143,
293329,82511,3539987,673047,13915399,165056000,7891730,-10182896,3035999,3203473,1749549,19235893,8886143,15718563,
352367,47122,3422109,914533,14469066,10738827,7618324,-5850301,2741107,3442142,1769568,19968677,8730856,18840119,
400393,30751,3625358,715513,11580816,10888667,7260974,-4609051,2620182,2318474,1475365,15990808,8445725,22772060,
355303,76790,2919302,782948,14064823,118924661,7520791,-3999728,2958367,2999591,1621685,18161915,7367259,16010897,
248127,51000,2671486,576422,14747486,23133153,6934815,-5288203,2250278,1833624,1201548,16067099,10436999,17767875,
319145,17883,1724488,670515,8799051,40405705,6727177,-3544407,1922010,2210224,875768,15431543,5710248,12026161,
277857,26820,2229718,639342,8593826,8692740,7098689,-4719369,4337450,3660625,-1462245,19538210,6917767,13721655,
