binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
23719963,50153030,708329661,20557769,13173243,32161211,-59580083,39074872566,
7659723,25669815,603680427,37284671,15079675,28710097,-25876156,39025311609,
8734392,23380825,603005980,15578906,18471213,28254592,-27733400,37115576842,
17802552,24593117,602241837,9252893,13090229,27167098,-10029481,38084497174,
6317516,24011844,602134491,19221287,12014885,28691640,-13706772,38875891602,
8162626,25938244,601106826,11343607,11430361,34814541,-22139373,36242463023,
8385834,30075603,601005612,12698379,11912135,33042262,-10465100,40295710921,
6499975,29673089,601041420,14398250,16993094,29731384,-8277063,41144214715,
10268090,27851792,601264825,11275451,11460907,33913091,-10407725,37522237644,
8100421,24314281,600715221,13102506,11053691,27415582,-12362747,37004627997,
