binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI,
15871322,23767144,730827690,17865361,12447979,25468087,-30286776,391355420646,329096317144,11090619254,272371925463,56278302070,
5954101,12792065,603701159,47075332,26559548,50246489,-7512687,427529171326,301864383920,10422213291,257280732842,52745798045,
2560704,8812982,605170543,33599800,27156408,48692356,-6473122,384608900174,289275119389,9345696806,251434050978,50192621830,
114738999,6514401,605690048,34106051,28150512,49158712,-9943377,443507876526,353882594547,9526231682,254184680728,51788654836,
5939163,6622461,606797373,30427915,25458410,45347951,-3775956,387172033938,326570524875,8789288296,229840436387,47263288476,
2617676,8180585,603799630,49929875,26929958,45318288,-3868526,347791476382,318693580807,10349612481,203667516096,44554367920,
4918533,8734395,615548313,48667541,29353226,47693781,-8576202,475697026680,387941336082,11832517716,263827460835,55151924822,
2890779,8860189,611037092,41028919,27721752,48658139,-3694042,469368125490,413262933543,12535130863,267143948733,53117499020,
3816330,9944413,604016782,58966260,45305621,50094995,-5346249,454647644241,418970944915,12302835318,245079838334,49259097034,
2768680,7408461,606615665,35554733,45685657,48785610,-3160810,474270313732,435409112577,12654041244,256246015440,35881899544,
