binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
18279138,33880037,731656692,31667779,24511958,44606093,-62208178,24696282676,
12077431,21946593,603039064,8536430,16047670,26696144,-24138254,24429127814,
4585054,19123041,602813514,11935351,13085252,32605359,-11513852,22679782207,
13248006,21329126,602115678,14392212,16388765,30135797,-8806915,22150536102,
6076242,20834740,602123557,16981928,13429568,29775709,-10455301,24216616592,
5817528,20060986,600960465,9099240,13669183,26124216,-9260412,21579737480,
6047819,23287177,601015908,20455481,14635935,32817970,-7569363,24162552625,
6329209,18798591,600802302,12019154,14100302,26514971,-7955661,25628458795,
5883267,21329788,600812258,9145805,14741411,27877746,-6778089,22132989863,
9958968,20768875,600806176,13870769,13314344,28231712,-8661927,22064590522,
