binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco
19043559,36691377,-735831903,65059986,43921746,55252541,-689461980
6181897,22946432,-605315885,57622193,103003997,63728907,-245031456
7092795,24016755,-607320022,53093029,135539728,70085177,-175182619
89212985,22653450,-605161146,81090828,219703377,63016663,-468746682
7235394,21224584,-609101756,122510647,261385195,61835001,-602484487
6741700,24126903,-609252398,93828899,280390768,65941487,-200045603
12186570,26466494,-605158492,37336843,46004019,70295392,-6633435
7156937,27070746,-605980231,56109566,145219909,76142841,-533706012
7207625,24122996,-604392493,111761119,189502040,76408498,-253809562
6882240,23458465,-604791864,41785166,100533081,58165138,-148435346
