binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
22944949,55734481,711765840,21450023,18044889,29284793,-66141717,58946877482,
19838963,31078037,603552817,17284720,16405037,30177631,-31856710,59034676388,
20770090,36448228,603123984,16337481,15835609,31041845,-14029268,59347620688,
24600718,30053021,602709440,12406118,16236088,28691006,-12391268,57797819034,
19342438,36260709,601410732,16316651,12633133,30616571,-10652307,60512567200,
11495954,33371776,601178804,11818181,18331817,36616533,-11943151,56135316716,
11050476,31105694,600908051,13199009,12464283,25177112,-9544615,59318218505,
16172655,37129903,601049162,17152096,17934798,29101085,-9992718,62891569151,
10755750,34605514,601116775,15205089,19428111,27110898,-11014519,55564874698,
10577317,32083261,600820197,14759096,15096929,29801224,-15189739,57224629009,
