binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
2014574,1029472,769058347,240681031,23829144,14713070,30450894,-52882105,125958302,82463595,65792447,1451531556,266683997,659433256,
1540318,364686,600575950,1878935308,14756023,21335347,27424618,-2144079,98274490,89484423,24807171,1382153176,243847300,872905957,
1942115,433235,600501210,591020940,14985649,16730469,23148620,-2456902,97534590,68084730,27230209,1742023847,381713732,942654009,
1842565,375200,600487089,288130277,54403383,42963247,33802046,-6533592,84666782,63628009,30103342,1228617045,281244981,810680370,
317998,229055,600653969,521244720,42882017,23184060,13185172,-5323687,88970130,54148384,23074974,950163473,223680777,601990685,
183571,175116,600522023,253402436,22831817,43351940,34646066,-2147635,61371659,45999530,21266092,876790200,231428019,395711954,
261256,268048,600533203,465465641,97826358,13059476,31098200,-4194942,80894022,105204550,38044918,1426260971,295350053,820758862,
314440,332730,600524474,1064595987,17827775,11484681,26412922,-3973723,97421513,85739627,77665564,1485575460,297615417,584074015,
83092,187122,-600479361,1371232786,21002006,10688727,32432463,-4384441,114442109,86505282,36389561,1889700962,350186306,979537633,
83238,168648,600380450,748801485,9036415,23540928,25167153,-2513665,85685579,68182848,20798051,1403612737,285597332,770907028,
