binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
262101,176854,123668075,25065094,18080845,28774818,6692703,-32901025,21602493,10644498,3492495,18812403,8380709,13049742,
251364,125373,8770574,778311,14752196,16280558,6821270,-12703141,2527848,3114439,2128816,20117166,7755624,20401022,
386909,123911,7772725,697624,25940228,34728515,7735709,3365315,2507577,2808570,1588314,14829531,8517735,14371844,
336940,46004,5754760,917889,77915080,133855959,11619865,-7127740,2504566,2001612,1240958,14287487,6600505,13646875,
315816,34567,6901037,777010,10570252,10706629,7362528,-8614863,2919763,3656597,1471315,19608125,8482407,17627493,
338307,37378,5696844,699516,12029273,14371812,6683066,-5063027,2537581,2449637,1895884,16505489,7275233,15302444,
392224,66731,5214720,1227762,18965802,8923431,7983766,-4663065,3807855,3472485,1896892,21847924,7234947,16813107,
388517,57756,2903405,1291740,13881032,8775779,6452251,-3339289,3158520,2119054,1958147,18637773,7465661,20821281,
259202,58975,2349222,867184,8882030,7370642,6766305,-3515976,2527488,1820388,1338942,20405131,6297115,23228878,
309679,23208,2403247,1441919,23770513,16387703,8081006,-4524441,4589713,3460282,1473500,17743652,12688683,14125741,
