binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
2329263,1631465,-709869204,217978045027,11955106,16497850,24852173,-22083274,286590252,255787648,133075609,3360218501,563355672,1928952534,
2180229,560850,600802589,329277947180,22769394,25978950,25255076,-14792124,163206414,157809918,64600696,3030262797,496296324,1752292648,
2166312,767049,-600718399,47451212551,21053140,13442067,28140000,-5628987,169337057,150656376,69173514,3088097838,546663915,1374203391,
310736,259956,-600684944,99063803447,6150932,6252326,23642778,-6217296,154480315,144927510,98136914,3369595748,483199436,1472807197,
199648,302435,600482342,112625528742,21997817,13873950,36008513,-2511963,129982548,114808698,54736043,1861926768,356933908,1048091316,
231974,405263,-600471086,154863502804,20042177,28194184,37076152,-5267129,139237894,134821700,55158164,2116154291,406552850,1158569417,
363234,234132,-600468321,171325732387,111152514,25046723,29558293,-15312725,174680543,179475380,82375520,3212901383,584374630,1592130241,
79725,213297,-600427415,53380380110,21023182,21122783,29556531,-9155032,147459572,138675899,54634679,2661206623,501016322,955782499,
141678,292116,-600547787,129970607357,45908939,31763047,27458253,-8332631,168767691,158808165,66544714,3112960309,524591952,1589358840,
91949,232059,-600362141,122075082540,24334593,28980479,26373909,-4701438,155804096,144649813,57722911,2637963746,459722546,1086552387,
