binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
10122796,7806460,703525148,13808931,9358458,29460790,-24374541,27411623570,23593158998,2023688446,64868628490,38561970637,9788750508,
2232089,7530024,601051809,12634045,19822794,26134600,-3548170,23115092242,20170795022,1636313954,76462890039,37540583178,9882003443,
875606,3199563,600861544,9860898,8880670,27117476,-4094707,22228256271,17164023553,1615817948,94962347641,35225770121,8907488542,
834344,2426590,600572589,23506835,17326378,27328989,-3574869,21849382870,15393142689,1707098049,57851339732,34864677638,9812642387,
777011,2692252,600615747,11006291,8219481,27811497,-4350501,24006833022,19689575418,1472935699,72706219201,29084701523,7716471308,
772419,3036713,600603886,8431417,8184198,27079003,-2036091,20152173706,15338753333,1540680636,59889246102,26504711326,8036477164,
884110,3182070,600701470,11787397,11711830,28987193,-3276051,22680269073,16447683324,1784860467,84349182165,39474958497,9383891248,
897394,4023701,600659186,9498571,23803872,30215439,-1863559,23099743207,18707452501,1699588070,73884987499,36159673065,8808388404,
844035,3429697,600551426,8251492,7313826,24367334,-1555826,23029741901,17506106586,1512701410,79589819018,34866865979,9188634705,
871125,3971019,600493550,10121398,8716668,24976636,-2080315,26138671099,17848781233,1747626625,79295507411,35543880670,7959265888,
