binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
29092616,62736959,726827626,24362626,13679867,30954612,-50381081,71926444086,
34724838,41642526,602718166,9831545,11667610,28561544,-22512227,78116925442,
14668316,44767574,603055288,15028515,11448261,28130655,-10309841,72120041837,
17333462,42463472,602031085,87227651,12818796,30210812,-9728593,77292527218,
27600623,41918731,601588808,15289450,15859235,30799934,-6372656,74111211981,
14181202,47056797,601368485,51374963,11565859,33400430,-7397956,69839867056,
15870735,44541267,601159592,18193649,12106656,27384850,-7936083,76369211946,
15363274,43546675,601153131,14058585,11986909,30494223,-7284351,78607221847,
14545821,40971430,601125998,16817020,11730048,29808550,-11917922,69084036539,
11450324,42502679,600859898,12045905,10552314,31351739,-6905791,75655257238,
