binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
18195923,28128618,-701536241,44475447,45940014,32491937,-462540295,471300394648,431753928008,231013198013,286641394147,
6619983,11753585,-605279084,96898840,114908760,60110580,-328101243,287300793129,232804434551,190451535552,265744644838,
3051392,7324109,-605467723,71304715,60820895,51157274,-246211415,451777655677,341682620382,202093652176,243179660067,
57885804,8330561,-608781981,58716419,117757250,66847837,-39274195,290331609990,242304397625,197283039338,220140004107,
2747055,6958651,-601225403,56185232,40387582,62064626,-239633989,296991002948,245586848394,186280231689,223765393064,
3284264,8283134,-601294686,74993698,32540951,53905405,-200666375,243031325080,200277669287,169969691490,208827916788,
2851804,8479728,-601178293,57442430,36500853,37525732,-173689310,398177145255,342916996561,191363647584,264118704771,
6160441,9396783,-608147879,105839476,115419560,65306906,-266100458,274213631796,213790244604,189719107557,240604313395,
2922048,15190436,-601245650,19737336,31651824,30887093,-158608099,435716853557,369887136827,250764293448,272865895411,
2628158,6444878,-603266167,69943328,100859156,60868740,-79522203,351232875582,290073695386,167010453525,221350870111,
