binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
3934662,2261227,-705761481,158018039,21985426,37780793,32058019,-71943065,562036926,394380890,290193739,8859361488,1085731355,2207820709,
3374088,1770534,-601038663,1960772156,21732794,18938807,32016555,-16847339,334151236,278988976,157568372,4830073069,767157111,2255426618,
663175,770718,-600745594,1426787027,18567873,16072774,27339932,-6798266,352435336,305909965,149276565,6605278316,803535441,2635123216,
369455,480801,-600694755,2697983933,5212686,7083964,24604633,-1649991,346846715,297950588,171127155,6734349106,900225035,2447932427,
305994,471557,535264854,89456814,16806920,10562953,32012721,-7224036,300059747,212219696,122345373,5499447006,687193705,1629385010,
106449,416732,600567698,3836424140,16036270,11339742,29403823,-2822531,343051662,310529137,154232048,4826530823,780844384,1855368839,
126511,441003,-600490586,1813760240,20883293,14763213,30099967,-6607955,428103262,348423718,214869499,8344086169,1088133670,2461286331,
117445,354547,600503471,773203270,19706776,15608323,28729638,-2614570,292060043,265668615,128902160,5853261438,731481863,2103303876,
133130,402851,-600456197,363246370,23319831,19510432,27613052,-3953349,409599414,321120718,181125727,6053212363,940625718,1870389908,
241600,415740,-600367114,2188666395,22521023,17604973,30083435,-2306335,406456827,335564340,219497015,7578864783,1073113707,2843182341,
