binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
12066450,11127429,708228505,19846905,10758731,31034684,-31696213,59074185395,46465605331,3423934169,185391991541,86779147649,18229845819,
17897108,10484730,601888116,38311469,13305459,24787207,-6209883,61773244912,47603708433,3240858073,168624525080,79854363514,17155980671,
1398768,4493850,601785530,10411179,8955462,27342810,-7192565,49496280896,34449524512,2655355469,168625345841,67751298900,12646397564,
1421551,4583533,601470692,11967998,11333587,28283383,-5741332,60010093512,43773939854,3178855403,157805585795,72725093917,14782849602,
2324472,4499406,601272305,14470948,8894664,27081800,-6195936,56036480723,47746408287,2695492700,141870156603,66333313435,19492696543,
1331252,3989490,601179553,10897818,9462971,28999272,-3465323,47933005536,38228418563,2851644474,137352169239,60754088720,13268297636,
1515709,4904236,600847772,11022617,9586187,34045080,-3484486,62143661839,47525251937,3469456562,162572665614,86036492391,15513774329,
1421293,4915893,601119320,13696668,9512791,33051334,-2802832,53015593258,37908441835,2947739147,181543112190,74911766244,16509640256,
1488340,5508109,600744645,11754270,9927945,29191023,-3138938,60978392515,48450655408,2861200725,186585606799,76022710397,13368095278,
1451387,4862095,600600885,14957997,10032863,26320401,-2651551,55259506124,41708351174,2989662567,182656360029,81160554188,12501881171,
