binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
7580990,3490964,-711445264,35026226,14414178,34167102,-522905662,1550805635,1099877777,848966530,28613362649,3504780054,16187693987,
1082893,3036195,-600878641,32726987,28026189,32772032,-1179806472,1337959839,1109788654,694829656,38089730586,3115120506,10915140165,
473360,1190300,-600804717,18111672,13494222,29201410,-11304061,1424530373,1213891563,939685211,47559404766,3992981267,15246157498,
239908,858969,-600684508,26809437,23939908,33632951,-852727509,1662617754,1435221743,847246760,47083351559,3631887017,18099906204,
200556,929661,-600692972,25055478,22600834,33331002,-22814008,1302182946,992059891,701787698,43569883333,3003568286,12568811952,
192586,652730,-600574695,18760085,27799264,29736621,-39247155,1103021732,900868542,659826059,29112134649,2151659080,13610567639,
418877,793650,600521287,28509783,27177304,33307599,-1244379099,1407345903,1127665344,739735633,35528587715,3970849769,18576833221,
216758,1002205,-600458030,14631510,25501496,29961860,-5072203,1610972636,1353010697,772229728,40163681283,3265668069,14361559861,
240885,768467,-600494419,34058899,28057444,31352571,-7978444,1449244187,1190968786,762375366,35975918446,3002996515,15552652201,
249034,828610,-600440874,25947418,25724914,35430029,-241794056,1521539250,1152880954,831677782,36846132144,3518874134,19919714226,
