binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
44373925,100068167,718792868,20307880,14489744,30963045,-108285850,220197923795,
89369443,100835510,607605102,44296146,59519890,47650974,-70106604,279037818513,
39619095,76651811,602148736,51445302,51098474,47098237,-21364199,266381651426,
53714032,82561050,602455327,40003737,53907081,48078319,-23641562,238057294676,
24907597,80850281,604548160,57989352,83707795,59835628,-66977997,275757777570,
23801235,77772817,602941151,36533017,50984721,49470458,-63406288,251393038632,
21526675,84910726,603725554,159870247,263496103,139731750,-25975335,258490621388,
25061919,79741938,601510822,78846405,85756038,48394090,-24560958,271799553799,
24040103,84027847,605755903,63406699,65722304,56893084,-84621890,242252129935,
25529608,82588487,601184251,38301918,51010682,50912298,-18566892,263137506119,
