binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
7789892,4539192,-703511412,29682002,16786624,36837952,-82765885,3654986482,3093597803,1310897505,121682467181,6293378091,65023435743,
1009001,3397013,-601080255,24273627,13918291,27357552,-80108938,3670613381,3022501497,1358525279,114712255256,6293466509,74017194283,
509891,1762549,-600839320,31968733,32200016,28291481,-41456494,3158649072,2800538473,1459547558,109982037252,6011607103,59162674046,
280760,1990672,-600794958,29060453,22063163,26568621,-16905199,3083021573,2953058423,1525218977,130529154149,5235512907,42580724951,
269616,977407,-600617837,15488618,19536773,26611778,-17388396,3477949894,3326424444,1295214786,118971885910,4586409646,41540881531,
299761,1168124,-600501654,25255133,27152003,27180599,-55594919,3177819754,2911083061,1154824261,128452845954,6566384416,52721062435,
300436,1224602,-600475201,115815265,16289030,28560516,-34550538,2930403520,2531730182,1863255949,100513045640,5975950683,63682173668,
323967,1336253,-600513609,23807546,18041828,28393096,-7823578,3254474038,2980931179,1709319352,138266309186,9083680890,58991374266,
269248,1210904,-600526409,29045601,16563254,28930838,-11688103,3092250001,2799019311,1292753840,105988250963,4736072565,58779086574,
289716,1237447,-600488381,28632168,35672757,26510130,-22083748,2911435135,2613196568,1442935628,102723665491,5124821292,57338824664,
