binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
10536399,9898226,-710459755,41747214,32068113,39547973,-5984818402,17491110576,14773181404,10325176070,-985996724480,38648601881,271986319099,
2087575,12385579,-601378430,11006366,25761235,29048216,-5567614854867,16647720080,14646680728,10875799800,-1068372247283,37088810683,592806763825,
871271,3200621,-601136163,41474376,10725634,25929983,-33744231,18080629322,14946815575,11149278279,-872546587969,36542141895,218102345746,
1546959,3479082,-600741070,23939954,28583961,31142586,-195366336,18142991220,14568589929,9779259005,-789747907519,35929572597,227107209059,
1354507,3050246,-600575575,11485684,20453334,29846723,-13765918210,15930001529,13624434585,9693014808,-730058286770,30056513526,195856475789,
1566291,2842991,-600693116,68042733,15012091,36778464,-80376442330,15207812092,12637515534,9224931585,-651060077928,27522728685,188239032827,
881170,3768784,-600546635,69007129,21562928,38590519,-74710682687,18755885414,15114759306,9805014070,-921091444962,40314136847,267992521578,
882558,3913384,-600546880,24754539,31392503,37173192,-2366728775,17537231332,15045439728,9805120445,-1277516073957,35845232493,252948769558,
867643,3065736,-600612168,93104666,20871727,35789447,-457657504567,17069367404,14014401730,10534317360,-768823106302,35951421436,246584415245,
881635,3235205,-600565961,51115452,31377800,35095900,-4581812252,19570104601,15450425628,10334218019,-1026067587078,36190022426,308598943157,
