binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
25748878,74082885,-744922328,47154106,57819593,48104846,-1215142308,635176181262,
99304416,51517952,-605759961,80746646,101962344,59342655,-408123976,-720883207565,
14832887,45473741,-607726779,107484406,141748849,69358811,-2133235822,-768620423921,
93218827,44382808,-606611136,80396580,149972133,71308633,-39572180,714814350258,
19313596,45284016,-605437413,97745964,118091207,61263641,-1096234581,702320620392,
325198334,43613379,-608233744,78710119,110648310,66557121,-372501172,662876071032,
121150505,43314290,-603792997,85927252,112398556,62880076,-127890344,-746747328183,
15042219,48479845,-603988364,117572690,114210432,72291270,-30593636,-743319293420,
103498344,45982496,-604946702,118838717,177846183,63521916,-8599825113,631071426335,
26993550,45169028,-606622094,87814314,112826177,70217350,-349975541,697841706758,
