binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
25522669,55801315,708347572,19184806,12735132,31185852,-56351909,44785641716,
19665971,32779042,603017251,8258097,12077746,26660144,-16135254,44358286617,
8302724,31763948,602745148,11106230,13157343,26537783,-18586197,42532827400,
18109911,29569138,601466589,14647677,13237080,27017144,-8441097,43285650557,
10181608,31653336,601242484,17070496,14230935,26635813,-6044071,45050167491,
10288606,26728699,601147227,12812747,12953845,33531801,-6579948,40876570239,
10387475,32478574,601571240,11639444,12576761,29268592,-6596853,47995638435,
11301598,41777558,601471907,10845517,14357087,34899689,-6411785,49737159641,
9811684,31490899,601301199,12359808,9575880,31858054,-5873159,45002296549,
9720389,31228650,600813063,11234087,12711926,28359051,-6239511,43242739958,
